State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,"Net rent - loss 
no.","Net rent - loss 
$","Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$",Net income or loss - primary production no.,Net income or loss - primary production $,Net income or loss from business - primary production no.,Net income or loss from business - primary production $,Net income or loss from business - non-primary production no.,Net income or loss from business - non-primary production $,"Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Total net medical expenses tax offset
no.","Total net medical expenses tax offset
$","Low income tax offset
no.","Low income tax offset
$"," People with private health insurance
no. ","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$"
VIC,3722,"2,939","2,917","124,624,832","2,299","21,688,650","1,809","2,057,215",19,"27,640","1,985","22,041,075",64,"231,773","2,068","84,778,731",529,"1,207,906",21,"268,484",37,"604,281",215,"1,248,748",294,"3,104,673",49,"834,888",55,"1,583,881","1,905","2,986,785",406,"281,731",733,"5,170,302",729,"2,215,539","2,931","132,806,165",600,"1,414,146",229,"612,564","1,461","407,948",123,"230,487","1,163","1,135,886",30,"13,869",56,"79,566",66,"204,806",726,"366,566","1,306","401,895","2,256","6,775,923",149,"2,646,959",289,"2,947,498",173,"2,061,337",681,"13,465,047",230,"831,566",46,"754,583",23,"317,329",50,"500,121",216,"2,043,563",140,"456,266",292,"6,081,344",268,"4,763,710",205,"429,017",186,"223,279",175,"28,918",415,"6,092,235",300,"2,773,026",104,"277,038",403,"2,534,243",207,"1,779,264",211,"-1,271,336",418,"507,928",148,"200,208",25,"152,036",90,"1,577,483",150,"328,340",54,"2,487,398",385,"26,518,017",421,"29,005,415",410,"22,180,572",55,"-600,131",388,"6,954,431",425,"6,354,300",230,"1,147,756",67,"215,012",35,"41,091","1,623","541,357","1,370","1,967","17,993,240"
VIC,3723,"1,451","1,421","57,409,092","1,019","10,281,402",815,"956,375",13,"14,992",897,"10,774,135",20,"61,994",973,"39,969,074",272,"817,288",14,"120,738",12,"78,486",106,"612,767",110,"1,174,358",28,"354,258",20,"447,991",909,"1,288,077",186,"84,057",339,"2,098,976",338,"899,296","1,443","61,510,949",309,"792,925",129,"274,413",638,"198,009",42,"47,416",566,"634,593",16,"3,539",28,"7,230",25,"97,007",355,"176,287",607,"222,563","1,045","3,457,171",49,"847,660",102,"942,338",123,"814,181",309,"6,707,979",104,"1,074,040",18,"315,865",15,"389,796",51,"562,137",98,"2,417,594",67,"759,852",129,"5,467,850",117,"1,569,024",90,"254,102",80,"169,197",68,"24,044",199,"2,974,538",145,"1,125,200",39,"99,036",198,"1,230,297",124,"835,454",77,"-315,449",203,"520,005",69,"365,276",7,"33,794",44,"865,905",47,"132,916",47,"2,421,409",210,"10,543,154",240,"12,964,563",233,"10,924,513",49,"-1,244,738",210,"2,760,853",241,"1,516,115",87,"403,526",24,"37,077",11,"5,552",729,"243,847",699,942,"8,912,503"
VIC,3725,386,380,"15,863,839",281,"2,889,630",227,"271,316",3,"2,581",248,"3,006,659",7,"31,591",264,"11,409,114",74,"136,041",5,"35,594",3,"45,143",29,"146,936",31,"352,104",7,"84,401",3,"79,636",261,"353,086",68,"40,773",102,"528,707",101,"226,563",385,"17,050,833",89,"221,489",21,"86,163",183,"46,552",7,"6,190",171,"155,460",4,"1,290",6,"2,523",0,0,110,"25,386",142,"45,129",267,"1,000,003",22,"443,832",37,"289,995",87,"1,398,877",90,"1,150,440",22,"40,581",1,"18,571",3,"50,638",13,"146,194",22,"480,919",15,"141,604",30,"844,153",30,"234,929",22,"55,681",19,"26,712",17,"2,709",55,"871,088",40,"369,232",16,"41,823",53,"463,147",27,"132,874",28,"-135,988",55,"-3,114",18,"29,053",3,"10,407",15,"321,420",12,"88,401",24,"2,565,584",35,"3,048,328",54,"5,613,912",56,"4,696,110",26,"26,798",39,"720,059",58,"746,857",21,"260,800",7,"11,605",3,"5,121",197,"66,621",157,246,"2,463,781"
VIC,3726,221,216,"7,694,489",158,"1,216,176",118,"125,127",5,"5,450",129,"1,227,913",2,"8,846",135,"4,436,571",34,"79,762",0,0,1,558,20,"147,901",19,"223,270",2,"13,536",4,"87,607",156,"172,837",47,"33,068",79,"648,098",79,"277,738",219,"8,415,412",33,"73,932",10,"11,380",88,"21,057",6,"12,524",65,"49,519",4,"2,021",3,"1,630",9,"34,731",71,"18,701",67,"16,734",138,"478,292",14,"271,590",14,"125,315",66,"1,199,841",67,"411,265",14,"9,783",0,0,3,"21,171",3,"4,372",14,"107,663",10,"12,875",19,"348,937",18,"357,685",10,"10,816",8,"1,941",9,658,36,"463,122",26,"192,842",5,"4,423",36,"196,639",25,"160,531",11,"-91,313",36,"69,218",6,"7,423",3,"23,204",8,"228,314",5,"7,749",22,"1,959,316",13,"309,313",32,"2,268,629",26,"1,627,359",22,"558,276",13,"75,574",32,"633,850",16,"116,194",4,"5,951",2,"1,504",117,"36,678",84,117,"879,439"
VIC,3727,202,200,"6,741,911",154,"919,199",111,"103,147",1,946,129,"914,589",2,"4,530",128,"4,613,750",28,"44,863",2,"3,865",5,"7,667",18,"125,956",19,"222,149",4,"102,591",1,"23,593",133,"144,246",26,"12,197",42,"77,177",42,"32,855",202,"7,237,070",39,"85,955",11,"48,296",89,"23,495",5,"5,907",76,"81,485",2,99,7,"1,431",0,0,45,"5,204",59,"16,568",129,"383,307",7,"102,924",13,"70,860",59,"2,234,578",57,"191,300",23,"20,629",2,"21,178",3,"29,200",4,"25,746",8,"11,256",4,378,11,"25,620",22,"192,173",7,"6,118",6,"5,062",5,556,16,"225,809",11,"87,475",2,"1,868",16,"89,481",9,"81,937",7,"-34,952",16,"46,985",11,"11,677",1,"2,222",7,"102,920",7,"11,947",11,"2,248,171",15,"1,423,949",25,"3,672,120",25,"3,574,479",11,"-146,371",15,"243,156",25,"96,785",9,"45,885",4,"13,118",1,150,127,"42,627",71,123,"866,028"
VIC,3728,293,293,"11,872,745",236,"2,011,961",198,"203,898",1,707,215,"2,058,177",6,"16,669",223,"8,978,223",63,"134,005",4,"12,482",5,"5,445",37,"235,935",26,"256,579",5,"44,697",5,"78,463",163,"288,316",31,"12,103",66,"203,952",66,"87,297",293,"12,584,253",75,"159,896",23,"77,015",163,"49,206",12,"12,200",129,"110,582",0,0,1,"1,065",3,"1,506",87,"14,185",109,"38,940",220,"696,926",14,"259,293",26,"141,357",45,"2,700,355",61,"813,220",17,"1,845",1,"1,140",2,"15,876",4,"8,787",11,"12,667",7,822,12,"20,902",21,"62,514",7,605,7,605,5,31,26,"225,474",18,"116,307",7,"13,393",24,"102,930",14,"59,263",12,"-66,419",26,"-7,156",6,918,4,951,9,"210,033",10,"22,298",10,"2,878,090",18,"1,231,464",27,"4,109,554",27,"3,561,989",9,"299,321",19,"245,175",27,"544,496",11,"81,763",8,"8,779",0,0,181,"59,536",88,218,"1,777,602"
VIC,3730,"4,531","4,489","194,506,331","3,500","33,809,525","2,882","3,289,795",50,"67,472","3,097","34,802,891",76,"204,071","3,259","145,480,677",926,"1,746,692",73,"857,556",51,"417,177",377,"2,326,144",434,"4,699,148",70,"874,206",111,"2,770,313","2,717","4,228,202",540,"383,812","1,173","5,220,685","1,171","2,233,926","4,514","204,579,867",971,"2,238,692",301,"651,561","2,335","643,340",154,"260,340","1,974","1,936,707",26,"10,111",91,"298,790",89,"284,259","1,347","403,774","1,828","497,962","3,336","9,437,876",227,"3,975,999",538,"4,132,639",191,"10,534,916",792,"16,434,033",261,"1,005,764",6,"129,689",11,"152,274",56,"418,544",258,"2,183,618",184,"437,657",324,"7,433,348",319,"11,332,583",195,"555,349",184,"163,019",153,"128,704",562,"7,472,123",408,"3,259,117",167,"444,629",554,"3,570,076",278,"1,870,649",285,"-1,672,348",567,"198,301",214,"197,884",41,"203,915",77,"1,598,136",148,"608,727",30,"2,174,664",319,"23,014,010",342,"25,188,674",343,"18,342,058",39,"463,068",323,"6,191,825",353,"6,654,893",202,"1,126,845",118,"294,977",33,"31,870","2,449","797,896","2,028","3,145","31,037,418"
VIC,3732,357,350,"13,835,433",239,"2,510,728",198,"230,925",3,"5,124",208,"2,594,889",3,"7,091",232,"9,543,544",54,"116,078",3,"5,679",4,"20,506",23,"107,659",48,"558,959",5,"62,234",3,"37,229",218,"237,209",49,"11,833",83,"442,391",83,"189,569",357,"14,715,051",70,"129,971",23,"35,848",150,"38,966",11,"17,920",130,"111,101",3,824,12,"5,152",7,"4,496",103,"19,012",140,"44,430",240,"545,626",15,"271,101",32,"169,672",62,"208,408",83,"1,194,225",27,"209,927",1,"8,625",3,"75,436",5,"70,583",27,"540,339",18,"181,229",36,"1,849,323",41,"742,540",24,"31,228",23,"29,498",20,"4,260",39,"536,555",30,"265,048",10,"20,400",40,"221,924",17,"109,571",23,"-80,388",40,"29,183",12,"20,866",5,"33,621",6,"98,400",13,"39,506",34,"3,642,493",42,"2,879,608",70,"6,522,101",70,"5,235,159",34,"292,281",42,"885,848",71,"1,178,129",30,"224,465",5,"8,390",5,"1,648",173,"55,558",167,221,"1,956,153"
VIC,3733,131,130,"5,129,313",106,"775,016",78,"77,125",1,887,92,"771,190",3,"11,094",90,"3,620,646",19,"47,871",0,0,1,"20,107",9,"62,064",14,"151,395",4,"95,682",1,515,89,"170,680",18,"36,031",31,"262,194",31,"112,362",131,"5,484,763",30,"73,665",12,"16,779",68,"19,818",4,"2,226",63,"51,482",2,439,7,818,3,705,54,"13,872",51,"14,982",101,"349,418",5,"87,854",14,"117,986",31,"461,487",31,"203,481",10,"3,222",1,"2,900",4,"71,653",3,"9,691",7,"19,188",6,"3,767",11,"110,306",17,"741,353",10,"6,901",9,"2,493",9,401,13,"192,152",9,"51,279",1,"2,052",13,"84,352",9,"83,047",4,"-28,578",13,"54,469",5,"5,206",0,0,5,"147,500",5,"7,100",2,"220,585",17,"600,749",19,"821,334",19,"835,256",4,"-35,619",18,"102,526",22,"66,907",8,"13,461",4,"13,259",0,0,80,"28,035",58,86,"741,852"
VIC,3735,417,414,"16,667,127",324,"2,688,435",261,"280,059",3,"2,909",279,"2,653,336",7,"13,388",291,"11,857,981",65,"124,746",4,"53,810",7,"23,115",34,"244,238",39,"322,184",8,"102,308",1,"23,900",291,"429,114",88,"57,186",122,"427,676",122,"183,265",417,"17,629,592",86,"187,061",25,"68,209",199,"47,172",12,"33,306",153,"127,844",2,534,19,"24,214",14,"8,432",114,"36,519",137,"35,126",287,"843,776",17,"351,763",39,"343,966",119,"1,812,328",122,"1,216,836",25,"12,993",0,0,1,"11,019",7,"35,262",16,"54,982",8,"3,423",24,"161,393",39,"208,269",21,"85,996",20,"6,333",19,"88,697",67,"706,975",47,"281,064",19,"33,531",65,"409,725",31,"184,823",35,"-202,168",67,"-17,345",14,"22,242",4,"2,079",12,"223,953",20,"42,617",27,"2,319,870",32,"2,962,331",55,"5,282,201",53,"4,326,530",28,"393,582",34,"542,831",58,"936,413",31,"143,596",8,"11,847",4,"2,096",245,"77,538",199,279,"2,414,786"
VIC,3737,"2,488","2,455","103,841,418","1,915","17,706,133","1,606","1,787,702",28,"35,425","1,703","18,423,006",36,"113,032","1,877","84,116,756",551,"724,115",22,"174,832",32,"351,487",211,"1,227,106",185,"1,944,670",49,"474,116",16,"468,047","1,593","2,350,790",314,"123,623",611,"2,960,133",610,"1,269,151","2,473","109,879,559",624,"1,389,769",178,"400,051","1,437","412,130",102,"209,903","1,115","1,104,386",22,"6,219",65,"82,863",35,"94,463",729,"184,944","1,147","308,867","1,945","5,384,588",114,"1,906,267",242,"2,062,576",215,"-221,749",487,"8,248,210",150,"490,682",13,"230,400",22,"342,200",32,"237,356",133,"657,921",95,"100,974",161,"1,678,349",195,"3,412,595",138,"742,269",116,"82,870",115,"228,123",347,"4,374,549",216,"1,657,503",118,"242,890",346,"2,215,768",200,"1,226,622",150,"-968,234",350,"258,388",73,"49,607",25,"185,856",41,"849,346",125,"309,122",64,"4,090,591",181,"16,415,713",232,"20,506,304",225,"17,523,243",67,"-70,203",186,"2,878,993",239,"2,808,790",112,"599,486",44,"85,582",19,"16,559","1,376","437,104","1,031","1,816","17,714,835"
VIC,3738,98,97,"4,080,112",77,"687,521",60,"63,187",0,0,68,"722,184",2,"7,369",83,"3,614,514",29,"22,717",2,"55,793",3,"24,923",8,"44,867",5,"51,152",3,"11,912",1,"8,321",49,"77,376",7,"1,650",15,"61,133",15,"26,182",98,"4,321,825",33,"77,321",11,"28,102",60,"16,322",4,"5,737",48,"58,677",0,0,4,"10,627",2,"3,856",26,"5,259",46,"11,279",77,"227,467",4,"54,666",3,"25,986",13,"-124,671",16,"226,031",1,186,1,"78,694",5,"60,781",1,"5,694",1,264,1,48,1,528,9,"60,083",1,3,1,3,1,1,12,"79,011",2,"3,002",3,225,10,"40,535",10,"40,425",2,"-5,176",12,"35,249",3,"1,455",0,0,2,"1,283",5,"9,004",1,"4,410",6,"128,108",7,"132,518",8,"66,742",2,"-5,524",6,"33,284",8,"27,760",2,386,3,"1,303",0,0,55,"18,095",34,82,"812,346"
VIC,3739,116,115,"4,510,914",85,"771,826",66,"74,543",0,0,70,"800,720",0,0,81,"2,917,947",10,"2,025",1,"16,806",1,"15,123",12,"78,382",13,"122,670",4,"19,663",0,0,74,"110,065",17,"6,780",34,"408,052",34,"174,875",116,"4,912,707",18,"50,144",3,"3,923",50,"15,357",4,"8,651",34,"29,149",0,0,2,"6,694",0,0,26,"33,045",39,"9,470",74,"348,383",3,"63,533",9,"128,592",20,"196,926",25,"352,417",3,"5,759",0,0,1,"4,396",3,"53,082",6,"35,458",4,"4,212",7,"773,051",13,"122,877",4,"1,910",4,"1,910",4,171,11,"98,930",10,"35,356",4,"3,874",11,"54,022",6,"14,222",5,"-8,544",11,"5,678",3,70,1,"3,800",7,"180,400",6,"11,550",7,"315,468",11,"946,374",16,"1,261,842",16,"968,173",7,"-4,152",11,"285,287",16,"281,135",7,"74,856",4,"2,950",1,176,61,"19,149",45,78,"553,154"
VIC,3740,591,587,"23,783,187",444,"3,860,617",378,"405,192",5,"6,585",394,"4,015,878",11,"41,099",461,"18,719,414",132,"299,641",3,"5,586",9,"68,567",39,"208,560",45,"480,053",14,"159,615",3,"139,958",376,"560,477",65,"43,092",154,"490,843",154,"210,686",588,"25,453,399",157,"429,698",60,"73,431",342,"108,499",30,"57,790",251,"301,966",3,"1,083",17,"17,918",11,"11,092",155,"45,358",251,"297,050",444,"1,596,324",21,"300,654",60,"804,102",31,"-30,893",123,"2,093,049",27,"32,979",2,"34,501",4,"61,768",15,"348,279",31,"294,701",22,"55,164",40,"982,731",44,"471,361",27,"32,432",23,"10,891",22,"1,076",87,"1,670,700",65,"765,613",26,"119,763",85,"824,294",38,"265,032",49,"-304,002",87,"-38,970",36,"249,392",4,461,7,"113,166",29,"138,869",7,"333,417",61,"2,408,652",66,"2,742,069",64,"1,663,114",8,"-123,051",63,"802,220",68,"679,169",36,"179,367",15,"36,287",6,"4,192",334,"107,825",263,428,"3,887,959"
VIC,3741,"1,859","1,849","75,731,898","1,373","13,092,008","1,117","1,245,884",6,"11,378","1,195","13,071,590",37,"114,366","1,280","53,654,336",299,"692,336",20,"353,073",25,"371,602",139,"804,035",172,"1,651,749",36,"434,796",39,"1,237,512","1,194","1,925,078",218,"142,156",465,"2,070,424",465,"888,272","1,856","80,087,917",417,"1,090,305",159,"236,377",859,"259,501",51,"102,598",707,"838,749",31,"10,303",44,"109,283",37,"65,513",492,"140,290",766,"263,129","1,335","4,020,663",83,"1,458,719",184,"1,477,605",52,"964,312",384,"6,661,459",110,"331,247",7,"127,192",6,"211,861",48,"627,079",132,"1,280,958",88,"226,545",174,"3,884,713",167,"3,367,635",111,"878,264",86,"20,988",83,"149,972",299,"4,829,338",220,"1,829,588",103,"283,928",299,"2,469,486",142,"1,182,191",161,"-935,855",305,"246,336",96,"106,248",10,"58,972",36,"663,658",56,"202,901",16,"327,673",231,"17,646,533",244,"17,974,206",239,"13,763,918",18,"-386,233",232,"4,238,416",247,"3,852,183",126,"760,296",49,"129,276",14,"11,430",987,"329,081",894,"1,234","11,810,191"
VIC,3744,247,246,"10,764,146",170,"2,161,041",137,"180,966",1,950,150,"2,282,724",2,"6,793",161,"6,205,986",41,"113,837",2,"14,557",2,"7,271",21,"141,747",18,"165,970",7,"80,795",4,"59,703",148,"277,119",23,"24,022",53,"404,497",51,"173,345",247,"11,403,761",50,"87,711",21,"13,077",102,"30,590",11,"11,901",83,"78,692",5,620,2,"6,425",4,"5,232",63,"46,102",106,"27,081",171,"631,480",12,"203,458",22,"123,594",9,"82,664",49,"874,828",14,"54,372",3,"49,674",0,0,12,"110,364",17,"1,824,808",10,"776,691",21,"3,918,178",14,"377,423",10,"12,643",8,577,8,"1,071",54,"870,442",45,"352,504",13,"39,829",52,"493,344",18,"144,493",36,"-159,728",54,"-15,235",11,861,0,0,10,"298,600",10,"25,449",3,"204,663",34,"2,043,059",37,"2,247,722",37,"1,511,699",3,"61,182",34,"595,015",37,"656,197",19,"122,904",7,"10,518",0,0,132,"46,651",121,148,"1,355,133"
VIC,3746,200,198,"9,225,128",167,"1,649,164",145,"163,959",2,"1,531",153,"1,750,884",4,"14,296",152,"6,888,143",51,"79,383",3,"20,592",1,"1,551",22,"130,197",12,"129,162",2,"8,266",3,"65,629",111,"149,275",27,"18,711",43,"218,121",43,"93,474",200,"9,571,699",54,"115,892",12,"15,967",114,"29,442",10,"13,638",107,"94,489",1,3,5,395,5,"3,415",89,"17,953",109,"22,431",164,"340,577",12,"226,521",19,"116,015",3,"13,259",23,"503,363",3,"65,268",1,415,1,"27,014",5,"26,903",12,"143,012",10,"23,688",17,"323,046",15,"268,761",6,"10,950",6,"1,698",4,737,26,"250,237",18,"140,839",6,"11,453",26,"128,761",9,"33,915",17,"-64,731",26,"-30,816",9,"14,112",2,"6,839",3,"13,750",8,"13,202",5,"384,728",29,"2,956,071",33,"3,340,799",33,"2,280,739",5,"-1,490",29,"1,049,969",33,"1,048,479",16,"322,720",3,"6,365",5,"3,401",124,"41,096",69,149,"1,451,816"
VIC,3747,"2,601","2,578","117,495,994","2,021","21,399,720","1,687","2,020,713",32,"51,741","1,805","21,846,445",82,"270,658","1,919","88,803,315",528,"1,333,038",32,"266,800",25,"573,085",192,"1,219,039",217,"2,205,181",67,"884,194",75,"1,893,841","1,692","2,492,208",279,"133,434",622,"3,398,807",622,"1,455,739","2,594","123,568,012",627,"1,281,608",193,"374,335","1,201","304,196",118,"226,155","1,165","1,199,777",35,"15,646",47,"84,594",37,"101,568","1,086","300,648","1,176","384,222","2,031","5,651,762",261,"4,921,058",312,"2,944,695",131,"648,108",451,"6,753,844",166,"367,493",17,"297,391",25,"494,858",47,"673,639",177,"2,146,678",118,"445,262",216,"5,159,919",201,"3,256,690",169,"723,778",145,"81,681",143,"135,538",379,"5,174,530",263,"2,340,912",152,"317,929",378,"2,449,002",206,"1,078,613",175,"-1,011,926",381,"66,687",133,"51,880",28,"344,336",49,"1,086,139",106,"265,762",50,"1,865,774",299,"20,000,550",339,"21,866,324",334,"16,263,074",58,"-415,166",305,"5,224,495",350,"4,809,329",171,"974,411",95,"231,586",27,"10,732","1,372","435,185","1,260","1,855","19,807,581"
VIC,3749,"1,164","1,158","58,333,837",927,"11,746,497",800,"1,036,914",14,"18,592",840,"12,141,161",35,"103,082",873,"43,409,378",249,"523,189",16,"249,320",15,"149,589",80,"526,477",82,"852,875",15,"254,675",27,"636,847",789,"1,330,889",161,"136,355",347,"2,469,425",345,"1,058,141","1,162","61,221,845",318,"612,460",108,"167,856",541,"134,409",57,"63,653",545,"575,230",19,"7,872",23,"50,382",34,"41,152",413,"124,979",480,"156,841",889,"2,749,066",91,"1,827,851",130,"1,285,834",65,"55,301",205,"5,141,500",82,"335,117",11,"96,512",10,"98,014",21,"245,119",68,"376,830",41,"68,641",88,"1,523,755",102,"1,476,205",64,"553,773",57,"25,119",54,"162,056",178,"2,368,933",127,"1,228,397",75,"142,847",177,"1,069,395",84,"476,466",96,"-548,172",180,"-71,706",55,"24,798",18,"24,105",22,"474,377",65,"338,946",43,"2,877,489",119,"6,731,081",154,"9,608,570",155,"6,820,642",45,"83,326",125,"2,484,693",162,"2,568,019",87,"431,413",22,"63,391",13,"6,747",609,"193,648",656,846,"10,126,564"
VIC,3750,"3,685","3,670","179,517,595","3,151","32,142,305","2,741","3,203,389",40,"48,735","2,973","34,498,145",157,"527,872","3,191","165,713,888",752,"2,207,439",38,"318,607",72,"441,668",291,"1,562,311",67,"653,118",18,"158,749",10,"256,064","1,924","1,875,560",97,"43,794",287,"663,475",287,"284,143","3,670","189,256,565","1,437","4,025,782",429,"569,504","2,167","715,795",208,"406,558","2,439","2,733,257",62,"23,922",66,"6,337",13,"10,711","1,461","327,902","2,102","397,298","3,060","9,699,968",230,"4,547,588",197,"808,957",25,"-29,073",205,"5,997,084",45,"381,433",39,"750,890",4,"13,363",43,"199,321",62,"1,923,790",50,"680,117",69,"5,154,851",84,"1,584,617",29,"224,040",24,"123,683",26,"38,242",386,"4,972,060",342,"3,438,884",200,"594,717",393,"2,554,482",95,"639,743",299,"-2,255,766",394,"-1,616,023",140,"258,914",18,"31,577",11,"179,421",158,"302,507",15,"2,485,883",398,"17,379,002",411,"19,864,885",385,"12,931,804",17,"179,491",408,"6,700,109",421,"6,879,600",226,"799,186",15,"23,593",20,"7,952","2,257","694,043","1,327","3,111","36,427,452"
VIC,3751,139,138,"6,560,069",106,"1,346,352",88,"113,860",1,"6,909",93,"1,450,369",2,"5,102",91,"4,020,885",20,"147,003",2,"12,830",2,"2,248",13,"84,990",3,"28,321",0,0,0,0,81,"173,569",8,"68,431",28,"319,992",28,"137,129",138,"6,901,399",41,"126,893",7,"14,630",58,"16,627",6,"17,574",65,"70,539",2,"1,036",3,"11,543",2,"1,064",37,"5,700",51,"26,796",97,"341,330",1,"16,999",9,"39,904",6,"-58,119",25,"1,238,826",6,"239,021",1,"3,800",2,"11,035",2,"18,762",7,"507,343",4,"205,874",9,"1,017,133",12,"172,360",4,"1,873",4,"1,873",4,181,21,"294,337",17,"202,297",10,"28,537",21,"151,599",4,"17,191",17,"-105,287",21,"-88,096",11,"7,833",2,301,1,"35,000",8,"13,928",0,0,9,"633,054",9,"633,054",9,"377,904",0,0,10,"238,208",10,"238,208",6,"35,269",0,0,0,0,77,"24,260",69,87,"850,435"
VIC,3752,"12,940","12,873","653,396,404","10,894","122,477,350","9,722","11,832,120",126,"158,934","10,247","131,000,196",389,"1,266,974","11,256","600,307,457","2,847","10,420,273",206,"2,253,590",264,"2,168,043",868,"4,723,729",365,"3,682,499",83,"901,073",56,"1,291,987","6,781","4,954,883",554,"132,346","1,627","6,618,075","1,624","2,831,012","12,886","689,261,870","4,721","14,518,510","1,455","2,237,538","7,525","2,443,554",581,"1,042,955","8,544","9,759,102",266,"99,925",268,"194,219",93,"202,150","5,628","1,660,807","7,131","1,630,581","10,773","35,623,012",892,"16,095,366","1,023","5,866,775",11,"121,997","1,101","25,795,415",291,"878,782",103,"2,128,832",2,"19,994",132,"1,408,774",379,"5,988,758",315,"1,679,666",457,"12,446,267",533,"8,517,407",248,"566,433",216,"279,455",193,"60,388","1,821","24,922,451","1,661","18,182,491","1,070","3,261,576","1,848","12,710,416",461,"2,461,516","1,390","-11,693,548","1,852","-9,232,032",550,"1,016,587",74,"278,929",50,"583,304",606,"1,221,918",18,"627,264","1,015","62,167,902","1,032","62,795,166",992,"43,763,028",21,"-35,468","1,040","18,223,052","1,060","18,187,584",597,"3,153,041",99,"181,221",160,"126,270","7,319","2,279,402","6,143","10,954","136,100,490"
VIC,3753,"1,078","1,073","57,621,400",935,"11,123,725",847,"1,057,226",14,"13,073",884,"11,822,023",34,"102,571",906,"50,828,664",235,"927,540",13,"272,957",32,"368,201",45,"282,643",34,"406,568",10,"139,905",6,"122,163",568,"551,068",55,"24,021",136,"817,001",136,"350,109","1,074","60,833,626",408,"1,262,360",144,"303,451",633,"211,562",51,"92,374",715,"852,614",18,"3,204",15,"12,658",9,"18,942",491,"98,682",590,"146,964",905,"3,172,774",65,"1,355,838",95,"673,889",13,"97,395",122,"2,939,693",27,"166,012",6,"230,733",3,"80,000",7,"110,439",39,"782,847",34,"197,243",46,"1,455,302",51,"629,930",31,"40,774",26,"13,578",23,"2,304",128,"1,999,489",119,"1,315,980",77,"194,272",132,"992,353",38,"263,168",95,"-766,284",133,"-503,116",48,"26,901",5,"107,332",5,"91,042",49,"73,066",5,"161,626",86,"6,332,236",90,"6,493,862",83,"4,836,218",4,"-131,041",86,"1,712,024",89,"1,580,983",54,"227,157",10,"22,432",8,"2,216",630,"192,371",465,879,"11,873,965"
